timestamp,etimes_s,rss_kb
2026-08-13T01:42:51Z,8693,25320
2026-08-13T01:42:51Z,/home/miztertea/sergeant-rs/target/debug/sgt,daemon
2026-08-13T01:45:27Z,8848,25320
2026-08-13T01:45:27Z,/home/miztertea/sergeant-rs/target/debug/sgt,daemon
2026-08-13T01:47:58Z,8999,25320
2026-08-13T01:47:58Z,/home/miztertea/sergeant-rs/target/debug/sgt,daemon
2026-08-13T01:50:29Z,9150,25320
2026-08-13T01:50:29Z,/home/miztertea/sergeant-rs/target/debug/sgt,daemon
2026-08-13T01:53:15Z,9316,25320
2026-08-13T01:53:15Z,/home/miztertea/sergeant-rs/target/debug/sgt,daemon
